read2229 37979 0.02891803453137886 0.096 0.008 0.05 0.0 read1195
read16861 37979 0.018517542935412495 0.0 0.0 0.0 0.01 read3633
read877 37979 0.023596484282207616 0.0 0.012 0.03 0.0 read8131
read11587 37979 0.021216034578183066 0.022 0.004 0.01 0.02 read16501
read10561 37979 0.002134949920927781 0.002 0.0 0.0 0.0 read1110
read2066 37963 0.02170072511535926 0.0 0.038 0.0 0.02 read13202
read10445 37963 0.019628071846149776 0.01 0.0 0.04 0.0 read8137
read291 37865 0.023512590356660576 0.0 0.0 0.0 0.02 read4743
read818 37726 0.02219324622794646 0.064 0.0 0.04 0.04 read8569
read3560 37726 0.024906964380648593 0.002 0.036 0.0 0.04 read16126
read5718 37726 0.022116102870558103 0.002 0.0 0.02 0.0 read16513
read1249 37726 0.021242740074787176 0.016 0.002 0.0 0.02 read4966
read13337 37726 0.015579487453568852 0.0 0.03 0.0 0.01 read5705
read7160 37710 0.02273330150140591 0.048 0.002 0.01 0.03 read5288
read4367 37710 0.025858154133831975 0.028 0.0 0.03 0.0 read9504
read12777 37710 0.023867109634551496 0.012 0.026 0.01 0.0 read15722
read11772 37710 0.012098378923350401 0.038 0.008 0.0 0.02 read10772
read11184 37710 0.0028672312634401465 0.0 0.0 0.01 0.0 read11595
read8706 37641 0.02163083726258025 0.01 0.006 0.0 0.02 read1868
read16903 37641 0.02686209193870753 0.026 0.008 0.05 0.0 read4462
read15189 37641 0.02940237347666436 0.041015625 0.038 0.07 0.0 read2433
read5739 37641 0.021268666648920596 0.006 0.0 0.04 0.0 read14835
read1426 37641 0.01977093353883766 0.0 0.0 0.01 0.0 read9983
read10038 37545 0.021732165741136268 0.0 0.012 0.0 0.01 read16609
read6859 37545 0.015455950540958269 0.036 0.0 0.0 0.01 read11735
read5287 37545 0.021082089552238805 0.006 0.014 0.01 0.01 read9414
read2226 37545 0.017435815404302966 0.0 0.036 0.0 0.06 read12182
read13747 37545 0.004291044776119403 0.0 0.0 0.0 0.01 read15929
read3413 37545 0.002531915460675355 0.0 0.0 0.0 0.0 read9828
read11501 37411 0.023102487135506004 0.042 0.01 0.03 0.0 read41
read2635 37411 0.031570745338277174 0.072 0.028 0.02 0.02 read6008
read8727 37411 0.029961443718539146 0.01 0.07984031936127745 0.01 0.09 read5493
read16177 37160 0.02767587397496763 0.0 0.012 0.0 0.0 read8917
read486 37160 0.02680211823192478 0.06 0.026 0.1 0.01 read12531
read7853 37160 0.02816825550708246 0.032 0.094 0.03 0.11 read15722
read11958 37160 0.022705796592780582 0.0 0.044 0.0 0.03 read11735
read4068 37160 0.018656113713455016 0.024 0.024 0.05 0.05 read11913
read2290 37160 0.011874310024502545 0.0 0.03 0.0 0.0 read10561
read11783 37097 0.01151936980684148 0.0 0.018 0.0 0.02 read1249
